Country Name En,Unit Name,2024 value,2024 flag,2023 value,2023 flag,2022 value,2022 flag,2021 value,2021 flag,2020 value,2020 flag
Afghanistan,Tonnes - live weight,2000.0,E,2000.0,E,2000.0,E,1800.0,E,2000.0,E
Albania,Tonnes - live weight,9074.0,A,10011.0,A,8891.5,A,9843.5,A,7810.5,A
Algeria,Tonnes - live weight,91272.208,E,94639.026,A,103681.152,A,74647.974,A,71518.724,A
American Samoa,Tonnes - live weight,1512.257,A,1248.92,A,1392.706,A,1196.746,A,957.99,A
Andorra,Tonnes - live weight,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N
Angola,Tonnes - live weight,610036.39,A,552827.905,A,539289.4,A,568544.0,A,374730.0,A
Anguilla,Tonnes - live weight,885.0,E,875.0,E,840.0,E,755.0,E,835.0,A
Antigua and Barbuda,Tonnes - live weight,3285.0,E,3265.0,E,3230.0,E,3205.0,E,3115.0,E
Argentina,Number,25842.0,A,42126.0,A,39442.0,A,35274.0,A,22333.0,A
Argentina,Tonnes - live weight,880087.907,A,827232.951,A,847752.718,A,852565.782,A,837589.518,A
Armenia,Tonnes - live weight,1199.999,E,1099.999,E,999.999,E,769.999,E,750.0,E
Aruba,Tonnes - live weight,175.0,E,170.0,E,172.0,E,165.0,E,160.0,E
"Ascension, Saint Helena and Tristan da Cunha",Tonnes - live weight,268.11,E,249.142,E,205.96,E,224.896,E,220.076,E
Australia,Number,48218.0,A,39993.5,A,38198.0,A,33596.0,A,28603.0,A
Australia,Tonnes - live weight,179058.61,A,188063.886,A,185649.339,A,177718.941,A,177812.32,A
Austria,Tonnes - live weight,350.0,E,350.0,E,350.0,E,350.0,E,350.0,E
Azerbaijan,Tonnes - live weight,64021.7,A,63048.3,A,56589.65,A,56159.9,A,57781.25,A
Bahamas,Tonnes - live weight,8880.0,E,8699.373,A,9345.212,A,8704.851,A,7433.142,A
Bahrain,Tonnes - live weight,15100.0,E,16544.795,E,19836.587,E,17000.005,E,17202.011,E
Bangladesh,Tonnes - live weight,2040419.0,A,2062668.0,A,2027661.002,A,1982482.998,A,1919505.0,A
Barbados,Tonnes - live weight,722.999,A,933.079,A,960.577,A,973.667,A,1033.833,A
